stimuli_name,Repeat_experiment.thisRepN,Repeat_experiment.thisTrialN,Repeat_experiment.thisN,Repeat_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Repeat_Train.thisRepN,Repeat_Train.thisTrialN,Repeat_Train.thisN,Repeat_Train.thisIndex,Introduction.started,listen_instr.started,key_continue.started,Introduction.stopped,key_continue.keys,key_continue.rt,cross.started,Put_hands.started,Listening_Tap_Instruction_3.started,cue.started,cross_listen.started,beat1.started,cue.stopped,text_3.started,text_3.stopped,cue_tap_imagine.started,cross_imagine.started,text.started,cue_tap_imagine.stopped,cross_imagine.stopped,text.stopped,text_4.started,text_4.stopped,cue_imagine.started,cross_imagine_2.started,text_2.started,cross_imagine_2.stopped,text_2.stopped,Instruction_next_trial.started,Instruction_next_trial.stopped,Listening_Tap_Instruction_3.stopped,cross_listen.stopped,cue_imagine.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,3,0,3,0,0,0,0,2,0,0,0,0,,,,,,,,,912.9786711749985,914.9901976096664,914.9923455280004,919.7734301786661,919.7940230210006,,,,,,,,,,,,,,,,,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,3,0,3,0,0,0,0,2,1,0,1,0,,,,,,,,,,929.7912145696648,929.7898950849994,934.5936389996643,934.589673257,,,,,,,,,,,,,,,,,,,944.5914181879998,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,3,0,3,0,0,0,0,2,2,0,2,0,,,,,,,,,,944.589513887666,944.5914181879998,949.3893578596656,949.3909138349991,,,,,,,,,,,,,,,,,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,3,0,3,0,0,0,0,2,3,0,3,0,,,,,,,,,,959.4057266146667,959.4075725699986,964.1889924076643,964.2072868249998,,,,,,,,,,,,,,,,,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,3,0,3,0,0,0,0,2,,,,,,,,,,,,,,,,,,974.2053295709993,975.2054671459991,975.2070622776666,975.2054671459991,975.2054671459991,980.0053337299978,990.0049931510002,990.0049931510002,990.0049931510002,991.0049877999991,991.0049192996669,991.0049877999991,991.0049877999991,1005.8046443629974,1005.8046443629974,1005.8046443629974,1008.8083989939987,,,995.8048848299986,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,3,0,3,0,0,1,1,1,0,0,0,0,,,,,,,,,1008.8083989939987,1010.8211863716645,1010.8255171319979,1015.6044074016647,1015.6210938900003,,,,,,,,,,,,,,,,,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,3,0,3,0,0,1,1,1,1,0,1,0,,,,,,,,,,1025.6208311566663,1025.6208247629984,1030.4040187776666,1030.420621497,,,,,,,,,,,,,,,,,,,1040.4203900100001,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,3,0,3,0,0,1,1,1,2,0,2,0,,,,,,,,,,1040.4204061676649,1040.4203900100001,1045.2216490356661,1045.2203533609973,,,,,,,,,,,,,,,,,,,1055.2199239859983,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,3,0,3,0,0,1,1,1,3,0,3,0,,,,,,,,,,1055.2211990636645,1055.2199239859983,1060.021183373665,1060.0199135629991,,,,,,,,,,,,,,,,,,,1070.0224660999993,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,3,0,3,0,0,1,1,1,,,,,,,,,,,,,,,,,,1070.0224660999993,,1071.037614936664,1071.0362991269976,1071.0362991269976,,,,1085.8359493110001,,1086.8359647846667,1086.8359758879997,1086.8359758879997,,,1101.636375528,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,3,0,3,0,0,2,2,0,0,0,0,0,,,,,,,,,1104.6347944890003,1106.6347424906673,1106.6348847849986,1111.4180167406669,1111.4345314700004,,,,,,,,,,,,,,,,,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,1129.7688647083316,1130.6209939159999,1134.4797663946667,1134.5770969419973,,,,,,,,,,,,,,,,,,,,,,,,,,,
