stimuli_name,Repeat_experiment.thisRepN,Repeat_experiment.thisTrialN,Repeat_experiment.thisN,Repeat_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Repeat_Train.thisRepN,Repeat_Train.thisTrialN,Repeat_Train.thisN,Repeat_Train.thisIndex,Introduction.started,Introduction.stopped,listen_instr.started,key_continue.started,key_continue.keys,key_continue.rt,cross.started,Put_hands.started,Listening_Tap_Instruction_3.started,cue.started,cross_listen.started,beat1.started,cue.stopped,cross_listen.stopped,Tap_Imagine_instruction_2.started,Tap_Imagine_instruction_2.stopped,cue_tap_imagine.started,cross_imagine.started,cue_tap_imagine.stopped,cross_imagine.stopped,Imagine_instruction_2.started,cue_imagine.started,cross_imagine_2.started,Instruction_next_trial.started,cue_imagine.stopped,Imagine_instruction_2.stopped,cross_imagine_2.stopped,Instruction_next_trial.stopped,Listening_Tap_Instruction_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
audio/exp1/snare_mp1.wav,4,0,4,0,0,0,0,0,1,0,1,0,,,,,,,,,,1429.1608136626712,1429.1666041670032,1433.9477573186707,1433.9607705890012,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,4,0,4,0,0,0,0,0,2,0,2,0,,,,,,,,,,1443.97715719567,1443.9772030970053,1448.760654291673,1448.7772771770033,1458.7837167950056,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,4,0,4,0,0,0,0,0,3,0,3,0,,,,,,,,,,1458.7770909446738,1458.7837167950056,1463.5769317716733,1463.5816108920044,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1473.5929096110049,1481.5933402110022,1481.593154001672,1481.5933402110022,1486.3929354430002,1496.3946404660019,1496.3946404660019,1504.4092530786695,1504.4092687660013,1519.2088713190024,1509.210418364004,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,4,0,4,0,0,1,1,2,0,0,0,0,,,,,,,,,1523.208752024002,1527.208668433672,1527.2085997670001,1531.991774990671,1532.0086069950048,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,4,0,4,0,0,1,1,2,1,0,1,0,,,,,,,,,,1542.0082300996694,1542.0082287580008,1546.7914692206725,1546.808029978005,1556.8125725930004,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,4,0,4,0,0,1,1,2,2,0,2,0,,,,,,,,,,1556.8077931156697,1556.8125725930004,1561.6123381336695,1561.6077219880026,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,4,0,4,0,0,1,1,2,3,0,3,0,,,,,,,,,,1571.6241805956709,1571.6280319790021,1576.4096458286697,1576.4240366130034,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,4,0,4,0,0,1,1,2,,,,,,,,,,,,,,,,,,,1586.4450468750001,,1594.4569386286714,1594.4569883410004,1599.2598616460018,,1609.2565930940036,1617.2563517626734,1617.2563740740006,1632.0559994840005,1622.056230347007,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,4,0,4,0,0,2,2,1,0,0,0,0,,,,,,,,,1636.055911430005,1640.055840439669,1640.062727277007,1644.8448475886728,1644.8556508220063,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,4,0,4,0,0,2,2,1,1,0,1,0,,,,,,,,,,1654.841367742669,1654.8393161600034,1659.6386230056708,,1669.638358559001,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,4,0,4,0,0,2,2,1,2,0,2,0,,,,,,,,,,1669.6384299706735,1669.638358559001,1674.438285619672,1674.438318876004,1684.438123636006,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,4,0,4,0,0,2,2,1,3,0,3,0,,,,,,,,,,1684.4379762606734,1684.438123636006,1689.2379098066706,1689.2434026970004,1699.2404581590017,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,4,0,4,0,0,2,2,1,,,,,,,,,,,,,,,,,,,1699.2404581590017,,1707.2540958736683,1707.2542572880047,1712.0539517020006,,1722.053721990007,1730.0535006066677,1730.0567443870023,1744.8532130110034,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,5,0,5,0,0,0,0,1,0,0,0,0,,,,,,,,,1748.8582775890027,1752.8529855176714,1752.8595338650048,1757.636165654669,1757.6528463090071,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
